Year,Country,Region,Gaming_Revenue_BillionUSD,Esports_Revenue_MillionUSD,Active_Players_Million,Esports_Viewers_Million,Avg_Spending_USD,Top_Genre,Top_Platform,Esports_Tournaments_Count,Pro_Players_Count,Internet_Penetration_Percent,Avg_Latency_ms,AR_VR_Adoption_Index,Streaming_Influence_Index,Covid_Impact_Index,Female_Gamer_Percent,Mobile_Gaming_Share,Esports_PrizePool_MillionUSD,Gaming_Companies_Count
2017,Brazil,South America,47.78,4364.7,9.1,16.9,111.7,FPS,Mobile,78,6864,58.3,93.8,0.21,0.52,0.0,23.5,41.0,21.9,93
2018,Brazil,South America,59.52,6250.7,4.5,12.5,144.2,Sports,PC,26,4342,85.7,73.5,0.41,0.58,0.0,23.2,44.0,7.2,481
2019,Brazil,South America,74.14,10380.2,22.5,44.4,123.7,Sports,Console,54,10854,80.0,32.2,0.48,0.64,0.0,24.4,47.0,19.2,173
2020,Brazil,South America,92.36,6790.8,52.4,128.2,94.2,RPG,Console,26,5850,74.6,42.4,0.44,0.96,0.26,26.2,50.0,5.9,87
2021,Brazil,South America,115.06,13529.0,27.7,66.2,116.9,RPG,Mobile,79,22120,65.2,92.9,0.61,1.21,0.45,25.2,53.0,18.6,118
2022,Brazil,South America,143.33,12254.7,6.0,15.3,38.1,Strategy,Mobile,9,1989,76.7,76.0,0.6,0.82,0.0,28.6,56.0,1.9,309
2023,Brazil,South America,178.55,20881.3,59.7,168.5,96.9,Sports,Mobile,102,26928,93.1,38.1,0.68,0.88,0.0,29.2,59.0,27.2,296
2024,Brazil,South America,222.43,20229.1,26.5,83.4,30.1,RPG,Mobile,20,3780,60.6,54.9,0.79,0.94,0.0,34.4,62.0,7.9,113
2025,Brazil,South America,277.08,32461.7,7.4,14.9,124.5,Sports,Mobile,36,7560,57.2,29.7,0.86,1.0,0.0,36.6,65.0,10.9,301
2010,Turkey,Middle East,5.24,753.5,34.1,72.0,77.6,RPG,Mobile,27,5481,72.4,99.4,0.06,0.1,0.0,9.5,20.0,8.1,110
2011,Turkey,Middle East,5.78,518.7,33.3,91.8,110.9,RPG,Console,110,22770,63.7,31.1,0.1,0.16,0.0,6.7,23.0,36.3,414
2012,Turkey,Middle East,6.38,685.4,29.8,63.4,102.8,Strategy,Console,69,10971,92.9,86.9,0.14,0.22,0.0,13.6,26.0,25.8,150
2013,Turkey,Middle East,7.03,369.6,9.8,33.7,95.9,Strategy,Console,36,6372,72.8,58.0,0.07,0.28,0.0,14.6,29.0,9.3,325
2014,Turkey,Middle East,7.75,670.3,24.4,64.2,53.0,MOBA,PC,93,16647,77.9,47.3,0.1,0.34,0.0,16.2,32.0,25.2,480
2015,Turkey,Middle East,8.55,531.1,19.6,33.3,113.1,FPS,PC,101,5353,77.7,48.0,0.07,0.4,0.0,17.5,35.0,31.1,317
2016,Turkey,Middle East,9.42,1153.7,47.9,110.7,108.5,Strategy,PC,103,5768,84.6,25.8,0.23,0.46,0.0,20.9,38.0,29.0,395
2017,Turkey,Middle East,10.39,1340.7,35.8,102.4,52.8,MOBA,Mobile,9,1026,78.3,39.9,0.25,0.52,0.0,19.6,41.0,2.1,494
2018,Turkey,Middle East,11.46,698.6,33.8,81.4,131.3,Sports,Mobile,59,9794,64.6,80.3,0.34,0.58,0.0,24.5,44.0,16.1,241
2019,Turkey,Middle East,12.63,1717.5,24.8,84.5,46.0,FPS,PC,68,4488,86.4,30.7,0.44,0.64,0.0,27.4,47.0,21.4,106
2020,Turkey,Middle East,13.93,1614.8,53.9,149.5,103.7,RPG,PC,64,8704,83.2,63.4,0.61,1.24,0.54,25.5,50.0,17.9,110
2021,Turkey,Middle East,15.36,929.7,4.1,10.2,76.5,Sports,Console,35,5565,92.4,83.8,0.63,0.98,0.22,29.5,53.0,13.9,60
2022,Turkey,Middle East,16.93,1295.6,3.2,5.4,146.1,FPS,PC,99,18315,67.2,40.4,0.72,0.82,0.0,31.4,56.0,33.9,58
2023,Turkey,Middle East,18.67,1062.9,57.7,141.7,137.5,RPG,Mobile,14,2772,77.1,68.7,0.7,0.88,0.0,29.9,59.0,2.5,360
2024,Turkey,Middle East,20.59,1351.9,4.5,7.8,101.8,Sports,Mobile,77,15554,77.6,95.7,0.94,0.94,0.0,34.2,62.0,18.8,423
2025,Turkey,Middle East,22.7,2261.1,2.7,9.5,110.6,Sports,PC,98,16464,74.5,72.7,0.91,1.0,0.0,36.0,65.0,36.2,158
2010,Canada,North America,14.7,814.0,20.6,61.8,62.3,MOBA,PC,96,7488,80.8,31.9,0.04,0.1,0.0,10.5,20.0,31.9,59
2011,Canada,North America,17.63,2363.9,44.5,115.0,100.8,RPG,Console,60,3120,81.0,90.5,0.1,0.16,0.0,8.7,23.0,13.5,376
2012,Canada,North America,21.15,1397.8,34.4,107.3,119.0,RPG,Mobile,7,1694,79.6,48.3,0.09,0.22,0.0,15.4,26.0,1.5,414
2013,Canada,North America,25.37,1745.8,22.6,69.4,96.5,Sports,PC,90,25470,50.5,81.2,0.14,0.28,0.0,17.9,29.0,30.6,446
2014,Canada,North America,30.44,1975.2,19.7,64.2,149.6,Sports,Mobile,8,1280,89.9,69.5,0.03,0.34,0.0,14.5,32.0,2.1,302
2015,Canada,North America,36.52,3241.5,25.3,82.3,91.2,MOBA,Console,7,1855,81.6,29.0,0.08,0.4,0.0,17.5,35.0,1.2,33
2016,Canada,North America,43.81,3372.4,49.9,124.5,39.2,MOBA,Mobile,26,5226,59.4,86.9,0.23,0.46,0.0,21.2,38.0,6.1,28
2017,Canada,North America,52.55,4352.4,27.2,45.6,56.5,Sports,Mobile,96,9216,78.9,56.6,0.2,0.52,0.0,21.3,41.0,38.4,269
2018,Canada,North America,63.04,7476.5,59.5,178.1,118.8,Sports,PC,94,18142,94.1,37.4,0.27,0.58,0.0,23.3,44.0,18.9,116
2019,Canada,North America,75.63,6040.8,56.6,114.2,81.6,Strategy,PC,119,14042,69.6,95.3,0.43,0.64,0.0,21.5,47.0,42.9,365
2020,Canada,North America,90.73,9040.8,27.3,80.9,121.9,Sports,PC,58,12934,83.8,74.3,0.51,0.95,0.25,25.9,50.0,17.5,45
2021,Canada,North America,108.84,16052.5,23.5,55.5,131.4,Sports,Console,74,6882,52.8,93.0,0.62,0.97,0.21,26.9,53.0,14.0,450
2022,Canada,North America,130.57,16606.9,7.0,13.8,117.9,Strategy,Mobile,79,15563,87.3,84.1,0.59,0.82,0.0,27.8,56.0,14.4,151
2023,Canada,North America,156.64,10934.9,34.8,84.5,146.6,FPS,Mobile,16,4768,82.4,56.3,0.78,0.88,0.0,29.2,59.0,3.1,336
2024,Canada,North America,187.91,27820.4,15.2,35.1,95.1,MOBA,Mobile,43,5805,60.2,88.5,0.84,0.94,0.0,37.2,62.0,12.4,339
2025,Canada,North America,225.42,21692.5,25.9,72.5,95.5,Sports,Console,92,26496,70.7,28.9,0.92,1.0,0.0,36.8,65.0,25.6,328
2010,India,Asia,7.96,1001.9,45.7,70.2,45.2,RPG,PC,83,21829,70.3,98.9,0.11,0.1,0.0,12.1,20.0,15.8,35
2011,India,Asia,8.9,528.8,21.9,45.3,76.9,FPS,Console,103,5665,67.1,83.2,0.19,0.16,0.0,15.7,23.0,25.0,316
2012,India,Asia,9.95,591.1,22.7,68.4,63.2,MOBA,Mobile,76,7904,70.1,66.8,0.07,0.22,0.0,12.3,26.0,23.6,395
2013,India,Asia,11.12,1564.2,18.1,62.6,46.9,Strategy,Console,5,1480,64.1,84.9,0.14,0.28,0.0,14.1,29.0,1.0,375
2014,India,Asia,12.44,1824.6,26.2,91.0,110.2,MOBA,Console,17,3587,79.5,34.7,0.1,0.34,0.0,19.5,32.0,3.3,334
2015,India,Asia,13.9,1695.3,53.6,89.0,117.8,Sports,Mobile,65,17485,74.3,78.3,0.16,0.4,0.0,23.5,35.0,23.7,437
2016,India,Asia,15.54,1172.5,49.5,161.4,93.1,MOBA,Mobile,116,8120,82.4,56.5,0.11,0.46,0.0,22.2,38.0,20.7,43
2017,India,Asia,17.38,2170.1,39.8,109.0,72.3,RPG,Console,73,11461,51.4,80.4,0.23,0.52,0.0,17.6,41.0,19.6,427
2018,India,Asia,19.43,1106.6,12.1,39.0,57.3,RPG,Mobile,76,22496,73.1,47.9,0.4,0.58,0.0,21.1,44.0,16.7,200
2019,India,Asia,21.72,3048.4,15.5,48.3,37.1,RPG,Console,83,21497,75.2,33.3,0.49,0.64,0.0,24.0,47.0,26.0,385
2020,India,Asia,24.28,1526.8,25.9,80.5,87.5,MOBA,Mobile,117,8658,62.6,89.4,0.47,1.05,0.35,24.0,50.0,29.9,92
2021,India,Asia,27.14,3635.8,58.9,161.7,97.1,Strategy,PC,23,5152,53.1,44.7,0.61,1.35,0.59,30.1,53.0,6.0,274
